snapshot_date,product_id,store_id,stock_on_hand,reorder_point,lead_time_days
2024-12-10,P0001,S016,154,37,8
2024-12-10,P0004,S004,93,46,4
2024-12-10,P0007,S010,96,67,5
2024-12-10,P0010,S017,97,35,4
2024-12-10,P0013,S015,184,55,9
2024-12-10,P0016,S006,169,48,11
2024-12-10,P0019,S013,31,42,5
2024-12-10,P0022,S005,196,61,4
2024-12-10,P0025,S006,163,51,3
2024-12-10,P0028,S001,59,37,5
2024-12-10,P0031,S001,133,34,4
2024-12-10,P0034,S003,20,35,8
2024-12-10,P0037,S007,83,37,3
2024-12-10,P0040,S006,192,31,5
2024-12-10,P0043,S005,73,55,6
2024-12-10,P0046,S018,148,22,7
2024-12-10,P0049,S010,71,34,11
2024-12-10,P0052,S006,92,61,3
2024-12-10,P0055,S014,170,42,8
2024-12-10,P0058,S016,184,64,7
2024-12-10,P0061,S011,77,24,5
2024-12-10,P0064,S012,152,62,5
2024-12-10,P0067,S005,72,43,5
2024-12-10,P0070,S017,11,34,4
2024-12-10,P0073,S003,120,34,11
2024-12-10,P0076,S018,169,69,10
2024-12-10,P0079,S005,60,70,10
2024-12-10,P0082,S004,102,55,3
2024-12-10,P0085,S001,11,30,3
2024-12-10,P0088,S001,15,68,11
2024-12-10,P0091,S008,187,29,6
2024-12-10,P0094,S008,189,39,8
2024-12-10,P0097,S018,115,63,12
2024-12-10,P0100,S007,87,34,11
2024-12-10,P0103,S008,192,20,11
2024-12-10,P0106,S005,180,66,3
2024-12-10,P0109,S014,35,24,9
2024-12-10,P0112,S007,200,41,6
2024-12-10,P0115,S018,144,32,4
2024-12-10,P0118,S009,195,65,5
2024-12-10,P0121,S012,197,39,9
2024-12-10,P0124,S004,104,37,4
2024-12-10,P0127,S004,137,21,7
2024-12-10,P0130,S011,41,59,11
2024-12-10,P0133,S017,200,31,7
2024-12-10,P0136,S018,82,58,5
2024-12-10,P0139,S009,13,58,6
2024-12-10,P0142,S001,88,56,5
2024-12-10,P0145,S003,189,44,5
2024-12-10,P0148,S007,122,64,6
2024-12-10,P0151,S011,22,66,6
2024-12-10,P0154,S009,123,26,7
2024-12-10,P0157,S010,74,64,8
2024-12-10,P0160,S004,70,61,7
2024-12-10,P0163,S002,32,63,7
2024-12-10,P0166,S015,139,33,6
2024-12-10,P0169,S005,130,21,12
2024-12-10,P0172,S011,138,33,3
2024-12-10,P0175,S009,173,25,4
2024-12-10,P0178,S014,63,23,3
2024-12-10,P0181,S018,36,42,8
2024-12-10,P0184,S005,70,70,7
2024-12-10,P0187,S016,110,32,9
2024-12-10,P0190,S001,114,38,8
2024-12-10,P0193,S003,135,44,8
