record_identifier,issue_type,issue_detail,action_taken
P0023,MISSING_VALUE,Missing unit_cost_aed - imputed as 50% of 1346.62,IMPUTED
P0084,MISSING_VALUE,Missing unit_cost_aed - imputed as 50% of 1571.52,IMPUTED
ORD000027,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000041,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000049,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000118,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000194,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000200,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000230,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000324,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000330,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000331,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000356,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000394,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000428,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000440,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000520,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000530,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000548,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000593,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000605,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000682,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000736,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000753,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000819,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000834,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000871,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000881,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001089,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001115,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001238,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001247,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001281,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001367,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001437,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001439,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001494,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001535,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001579,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001604,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001637,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001660,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001676,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001679,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001686,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001840,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD001921,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002129,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002243,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002247,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002325,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002337,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002347,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002378,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002401,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002440,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002722,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002857,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD002938,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003009,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003043,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003124,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003135,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003151,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003171,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003223,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003272,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003400,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003415,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003528,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003704,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003725,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003774,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD003801,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004186,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004272,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004295,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
