product_id,category,brand,base_price_aed,unit_cost_aed,tax_rate,launch_flag
P0001,Fashion,Samsung,3016.2,1332.74,0.05,New
P0002,Fashion,Noon,1737.69,809.05,0.05,Regular
P0003,Electronics,Zara,845.35,476.34,0.05,Regular
P0004,Beauty,Samsung,3085.23,1625.25,0.05,Regular
P0005,Grocery,Sony,458.84,232.95,0.05,Regular
P0006,Beauty,Samsung,2968.93,2054.31,0.05,Regular
P0007,Beauty,Carrefour,2524.08,1446.82,0.05,Regular
P0008,Electronics,Carrefour,961.59,407.65,0.05,Regular
P0009,Fashion,Puma,1161.89,591.92,0.05,Regular
P0010,Grocery,Carrefour,1117.91,664.5,0.05,Regular
P0011,Home & Kitchen,Zara,2966.51,1524.3,0.05,Regular
P0012,Grocery,Carrefour,1347.13,561.46,0.05,Regular
P0013,Sports,Puma,1120.96,765.47,0.05,Regular
P0014,Sports,Adidas,2671.75,1801.73,0.05,Regular
P0015,Beauty,Nike,1036.51,496.3,0.05,Regular
P0016,Books,Sony,927.28,512.65,0.05,New
P0017,Electronics,Apple,661.37,399.56,0.05,Regular
P0018,Books,Puma,2433.55,1156.97,0.05,Regular
P0019,Electronics,Carrefour,2932.89,1645.62,0.05,Regular
P0020,Sports,Apple,1224.0,490.79,0.05,Regular
P0021,Beauty,Zara,3097.85,1338.03,0.05,Regular
P0022,Grocery,Nike,1545.66,1060.4,0.05,Regular
P0023,Electronics,Noon,1346.62,673.31,0.05,Regular
P0024,Beauty,Adidas,281.7,192.71,0.05,New
P0025,Toys,Apple,3961.94,1734.25,0.05,Regular
P0026,Home & Kitchen,LG,2160.7,1489.39,0.05,Regular
P0027,Grocery,Lulu,1296.87,771.59,0.05,Regular
P0028,Toys,Apple,1041.62,423.22,0.05,Regular
P0029,Grocery,Samsung,333.97,156.53,0.05,Regular
P0030,Sports,Apple,2106.62,1149.42,0.05,Regular
P0031,Toys,Adidas,3188.48,1457.53,0.05,New
P0032,Books,Sony,1744.31,1079.24,0.05,Regular
P0033,Fashion,Samsung,1660.49,1093.44,0.05,Regular
P0034,Grocery,Zara,1844.45,891.91,0.05,Regular
P0035,Fashion,H&M,3282.09,1409.24,0.05,Regular
P0036,Electronics,Apple,3755.47,1689.56,0.05,Regular
P0037,Grocery,Puma,3659.77,1466.27,0.05,Regular
P0038,Toys,LG,1742.03,1217.03,0.05,Regular
P0039,Toys,Nike,809.59,338.04,0.05,Regular
P0040,Electronics,Lulu,1304.42,708.35,0.05,Regular
P0041,Home & Kitchen,Samsung,3893.12,1774.28,0.05,Regular
P0042,Grocery,Puma,529.55,250.94,0.05,Regular
P0043,Fashion,Puma,2679.49,1326.11,0.05,Regular
P0044,Sports,Adidas,1112.46,660.41,0.05,Regular
P0045,Fashion,Samsung,1883.14,1315.99,0.05,New
P0046,Grocery,Zara,1110.8,737.86,0.05,Regular
P0047,Sports,LG,680.99,416.13,0.05,Regular
P0048,Electronics,Carrefour,3318.42,1987.79,0.05,Regular
P0049,Home & Kitchen,LG,511.71,289.61,0.05,Regular
P0050,Grocery,Lulu,1421.52,932.34,0.05,Regular
P0051,Beauty,Samsung,419.19,202.47,0.05,New
P0052,Home & Kitchen,Carrefour,3969.19,2113.79,0.05,Regular
P0053,Electronics,Apple,350.98,235.57,0.05,Regular
P0054,Sports,Noon,2260.1,932.4,0.05,Regular
P0055,Electronics,Sony,890.31,383.58,0.05,Regular
P0056,Books,Noon,3047.91,1435.63,0.05,Regular
P0057,Home & Kitchen,Puma,149.15,74.52,0.05,Regular
P0058,Grocery,LG,686.79,353.53,0.05,New
P0059,Toys,Adidas,848.29,428.3,0.05,Regular
P0060,Grocery,Adidas,144.66,72.11,0.05,Regular
P0061,Beauty,Sony,2615.93,1816.36,0.05,Regular
P0062,Electronics,Apple,3558.15,2043.01,0.05,Regular
P0063,Electronics,Apple,2436.29,1549.31,0.05,Regular
P0064,Fashion,Puma,3648.02,1507.78,0.05,Regular
P0065,Grocery,Sony,1775.19,1200.44,0.05,Regular
P0066,Fashion,Lulu,3650.19,2190.36,0.05,Regular
P0067,Beauty,Zara,559.15,381.4,0.05,Regular
P0068,Home & Kitchen,Noon,2326.42,1512.45,0.05,Regular
P0069,Grocery,Puma,3193.04,1585.9,0.05,Regular
P0070,Grocery,Zara,1942.74,1241.04,0.05,Regular
P0071,Fashion,LG,2111.81,1057.08,0.05,Regular
P0072,Grocery,Carrefour,1291.68,573.77,0.05,New
P0073,Toys,Noon,3448.95,1808.4,0.05,Regular
P0074,Grocery,Lulu,2835.42,1341.71,0.05,Regular
P0075,Electronics,Apple,3163.68,2028.66,0.05,Regular
P0076,Toys,Samsung,2279.62,994.84,0.05,New
P0077,Toys,Carrefour,2174.53,1076.8,0.05,Regular
P0078,Toys,Noon,3310.03,1747.77,0.05,Regular
P0079,Toys,Nike,3024.62,1445.03,0.05,Regular
P0080,Beauty,Zara,1988.39,1057.75,0.05,Regular
P0081,Grocery,LG,1393.39,591.04,0.05,Regular
P0082,Books,Lulu,661.22,346.78,0.05,Regular
P0083,Toys,Puma,299.06,154.57,0.05,Regular
P0084,Electronics,Noon,1571.52,785.76,0.05,Regular
P0085,Books,Puma,2202.88,1409.76,0.05,Regular
P0086,Toys,Adidas,1141.74,589.89,0.05,Regular
P0087,Books,Lulu,710.18,311.26,0.05,Regular
P0088,Electronics,Puma,2417.57,1027.91,0.05,Regular
P0089,Toys,Nike,251.14,116.4,0.05,Regular
P0090,Books,LG,3058.04,1454.65,0.05,New
P0091,Electronics,Lulu,2207.68,1114.85,0.05,Regular
P0092,Electronics,Samsung,3848.45,1562.91,0.05,Regular
P0093,Home & Kitchen,H&M,2727.84,1269.51,0.05,Regular
P0094,Sports,Nike,2473.57,1522.5,0.05,Regular
P0095,Home & Kitchen,LG,482.39,238.1,0.05,Regular
P0096,Books,Puma,3815.88,2204.16,0.05,Regular
P0097,Grocery,Apple,2838.77,1718.24,0.05,Regular
P0098,Electronics,Sony,2180.98,917.51,0.05,Regular
P0099,Electronics,Puma,3339.32,2298.24,0.05,Regular
P0100,Toys,Lulu,661.96,368.4,0.05,Regular
P0101,Toys,H&M,1792.3,861.23,0.05,Regular
P0102,Fashion,LG,3576.52,1929.22,0.05,Regular
P0103,Books,Sony,164.8,74.91,0.05,Regular
P0104,Beauty,Sony,1168.63,776.01,0.05,Regular
P0105,Grocery,Apple,1015.42,575.29,0.05,Regular
P0106,Toys,Carrefour,2897.37,1173.94,0.05,Regular
P0107,Books,Lulu,1023.22,522.56,0.05,Regular
P0108,Sports,Puma,4036.53,2040.64,0.05,Regular
P0109,Beauty,LG,972.15,480.89,0.05,Regular
P0110,Home & Kitchen,Adidas,915.54,565.23,0.05,Regular
P0111,Beauty,Apple,3380.51,1718.19,0.05,Regular
P0112,Home & Kitchen,LG,232.06,113.16,0.05,Regular
P0113,Toys,Apple,3540.88,1914.98,0.05,Regular
P0114,Home & Kitchen,Samsung,1059.91,460.24,0.05,New
P0115,Toys,Apple,2358.08,1050.57,0.05,Regular
P0116,Beauty,Apple,4025.67,2533.49,0.05,Regular
P0117,Grocery,Zara,1571.51,768.79,0.05,Regular
P0118,Books,LG,2324.52,1599.35,0.05,New
P0119,Grocery,Carrefour,894.1,399.77,0.05,Regular
P0120,Fashion,Nike,60.7,35.09,0.05,Regular
P0121,Grocery,LG,2877.82,1543.11,0.05,Regular
P0122,Beauty,Carrefour,2409.16,1106.64,0.05,New
P0123,Grocery,Carrefour,645.96,285.95,0.05,New
P0124,Beauty,Noon,3045.83,1482.05,0.05,New
P0125,Beauty,Lulu,1660.03,932.93,0.05,Regular
P0126,Electronics,Puma,2988.14,1218.44,0.05,Regular
P0127,Electronics,Carrefour,3335.68,2097.92,0.05,Regular
P0128,Toys,LG,775.96,458.15,0.05,Regular
P0129,Fashion,H&M,1441.84,866.6,0.05,Regular
P0130,Sports,Puma,2824.69,1930.84,0.05,Regular
P0131,Electronics,H&M,402.24,174.88,0.05,Regular
P0132,Electronics,Carrefour,3527.47,1468.35,0.05,Regular
P0133,Toys,Carrefour,1818.16,872.93,0.05,New
P0134,Beauty,H&M,3573.39,1460.3,0.05,Regular
P0135,Grocery,Lulu,683.51,386.64,0.05,New
P0136,Fashion,H&M,3838.24,1712.59,0.05,Regular
P0137,Beauty,Zara,2871.65,1564.33,0.05,Regular
P0138,Toys,Zara,628.57,364.45,0.05,Regular
P0139,Home & Kitchen,Apple,1154.99,605.77,0.05,Regular
P0140,Beauty,Samsung,1181.36,680.56,0.05,Regular
P0141,Toys,Nike,1836.19,917.6,0.05,Regular
P0142,Books,H&M,3781.41,2625.18,0.05,Regular
P0143,Books,Adidas,3474.05,1721.23,0.05,Regular
P0144,Books,Puma,4003.66,2384.6,0.05,Regular
P0145,Electronics,Nike,2059.16,1360.92,0.05,Regular
P0146,Toys,Apple,2153.8,1328.32,0.05,Regular
P0147,Home & Kitchen,Apple,1927.96,967.0,0.05,Regular
P0148,Fashion,Sony,3459.37,1778.13,0.05,Regular
P0149,Toys,Zara,193.6,114.1,0.05,Regular
P0150,Grocery,Lulu,411.52,258.48,0.05,Regular
P0151,Fashion,H&M,715.46,292.4,0.05,Regular
P0152,Electronics,LG,1483.85,702.25,0.05,Regular
P0153,Home & Kitchen,Nike,750.28,386.22,0.05,Regular
P0154,Toys,Noon,622.47,296.42,0.05,Regular
P0155,Electronics,H&M,3654.84,1635.15,0.05,Regular
P0156,Sports,Noon,1246.62,756.82,0.05,Regular
P0157,Beauty,Adidas,4047.49,1748.5,0.05,Regular
P0158,Sports,Noon,1233.49,501.51,0.05,Regular
P0159,Books,LG,82.39,52.19,0.05,Regular
