order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
ORD000001,2024-08-12 00:00:00,P0299,S016,5,1382.16,15.0,Paid,N
ORD000002,2024-09-08 00:00:00,P0215,S005,2,744.0,30.0,Failed,N
ORD000003,2024-08-24 00:00:00,P0288,S011,4,573.06,11.0,Paid,N
ORD000004,2024-06-16 00:00:00,P0136,S016,2,3838.24,19.0,Paid,N
ORD000005,2024-07-10 00:00:00,P0179,S018,3,913.81,34.0,Paid,N
ORD000006,2024-06-04 00:00:00,P0149,S002,1,193.6,16.0,Paid,N
ORD000007,2024-08-07 00:00:00,P0140,S005,5,1181.36,33.0,Paid,N
ORD000008,2024-07-30 00:00:00,P0052,S005,5,3969.19,30.0,Paid,N
ORD000009,2024-07-31 00:00:00,P0031,S003,2,3188.48,2.0,Failed,N
ORD000010,2024-08-19 00:00:00,P0019,S013,2,2932.89,18.0,Failed,Y
ORD000011,2024-08-28 00:00:00,P0172,S010,5,438.77,8.0,Failed,N
ORD000012,2024-08-27 00:00:00,P0235,S009,1,3185.2,36.0,Paid,N
ORD000013,2024-06-21 00:00:00,P0219,S017,4,3376.79,8.0,Paid,N
ORD000014,2024-07-23 00:00:00,P0137,S011,5,2871.65,15.0,Paid,N
ORD000015,2024-07-21 00:00:00,P0160,S004,3,3152.96,8.0,Paid,N
ORD000016,2024-07-25 00:00:00,P0282,S016,2,2684.93,38.0,Failed,N
ORD000017,2024-06-12 00:00:00,P0289,S004,5,1119.89,34.0,Paid,N
ORD000018,2024-08-27 00:00:00,P0299,S016,5,1382.16,8.0,Paid,N
ORD000019,2024-07-13 00:00:00,P0158,S001,1,1233.49,2.0,Paid,N
ORD000020,2024-09-03 00:00:00,P0036,S016,4,3755.47,26.0,Paid,N
ORD000021,2024-05-16 00:00:00,P0193,S003,5,3005.18,7.0,Paid,N
ORD000022,2024-06-09 00:00:00,P0002,S001,4,1737.69,34.0,Paid,N
ORD000023,2024-08-22 00:00:00,P0058,S002,4,686.79,1.0,Paid,N
ORD000024,2024-07-15 00:00:00,P0025,S008,4,3961.94,3.0,Paid,N
ORD000025,2024-05-16 00:00:00,P0164,S011,2,853.18,26.0,Paid,N
ORD000026,2024-05-21 00:00:00,P0090,S014,1,3058.04,24.0,Paid,N
ORD000027,2024-08-22 00:00:00,P0095,S018,2,482.39,29.0,Failed,N
ORD000028,2024-07-01 00:00:00,P0199,S008,3,1454.09,23.0,Paid,N
ORD000029,2024-08-07 00:00:00,P0021,S003,5,3097.85,30.0,Paid,N
ORD000030,2024-13-45,P0061,S016,5,2615.93,15.0,Paid,N
ORD000031,2024-07-04 00:00:00,P0158,S009,4,1233.49,30.0,Paid,N
ORD000032,2024-08-01 00:00:00,P0289,S008,1,1119.89,37.0,Paid,N
ORD000033,2024-08-12 00:00:00,P0126,S016,3,2988.14,31.0,Paid,N
ORD000034,2024-08-24 00:00:00,P0251,S006,5,3204.08,33.0,Paid,N
ORD000035,2024-06-17 00:00:00,P0004,S014,2,3085.23,13.0,Paid,N
ORD000036,2024-06-17 00:00:00,P0248,S016,5,624.31,,Paid,N
ORD000037,2024-09-08 00:00:00,P0221,S006,1,2470.02,39.0,Paid,N
ORD000038,2024-07-22 00:00:00,P0208,S015,2,1638.28,5.0,Paid,N
ORD000039,2024-08-30 00:00:00,P0194,S018,1,538.93,27.0,Paid,N
ORD000040,2024-08-29 00:00:00,P0022,S008,5,1545.66,4.0,Paid,N
ORD000041,2024-06-18 00:00:00,P0162,S001,5,438.66,25.0,Failed,N
ORD000042,2024-06-30 00:00:00,P0200,S018,2,3013.88,5.0,Paid,N
ORD000043,2024-07-17 00:00:00,P0039,S011,5,809.59,20.0,Paid,N
ORD000044,2024-07-10 00:00:00,P0284,S013,5,1716.35,39.0,Paid,N
ORD000045,2024-08-07 00:00:00,P0079,S013,1,3024.62,28.0,Paid,N
ORD000046,2024-08-18 00:00:00,P0286,S018,1,341.89,5.0,Paid,N
ORD000047,2024-09-09 00:00:00,P0199,S003,5,1454.09,36.0,Paid,N
ORD000048,2024-08-07 00:00:00,P0253,S005,4,1964.12,4.0,Paid,N
ORD000049,2024-07-09 00:00:00,P0101,S015,3,1792.3,39.0,Paid,N
ORD000050,2024-07-17 00:00:00,P0070,S010,2,1942.74,25.0,Refunded,N
ORD000051,2024-07-10 00:00:00,P0125,S011,4,1660.03,12.0,Paid,N
ORD000052,2024-07-02 00:00:00,P0237,S007,3,2061.63,26.0,Paid,N
ORD000053,2024-08-09 00:00:00,P0217,S013,5,1314.56,32.0,Failed,N
ORD000054,2024-09-06 00:00:00,P0185,S018,1,2623.36,22.0,Paid,N
ORD000055,2024-06-20 00:00:00,P0205,S011,4,932.07,14.0,Paid,N
ORD000056,2024-06-29 00:00:00,P0192,S013,5,3741.94,1.0,Paid,N
ORD000057,2024-08-31 00:00:00,P0073,S012,4,3448.95,22.0,Paid,N
ORD000058,2024-08-01 00:00:00,P0023,S004,3,1346.62,10.0,Failed,N
ORD000059,2024-07-02 00:00:00,P0287,S014,2,2476.64,11.0,Paid,N
ORD000060,2024-06-24 00:00:00,P0231,S014,2,3427.71,4.0,Paid,N
ORD000061,2024-07-26 00:00:00,P0235,S004,4,3185.2,38.0,Paid,N
ORD000062,2024-07-27 00:00:00,P0089,S010,5,251.14,7.0,Paid,N
ORD000063,2024-08-23 00:00:00,P0215,S005,4,744.0,11.0,Paid,N
ORD000064,2024-08-01 00:00:00,P0028,S012,4,1041.62,35.0,Paid,N
ORD000065,2024-07-19 00:00:00,P0228,S016,5,2730.47,18.0,Paid,N
ORD000066,2024-06-03 00:00:00,P0254,S018,5,1223.77,23.0,Paid,N
ORD000067,2024-07-16 00:00:00,P0218,S004,2,274.69,28.0,Paid,N
ORD000068,2024-05-23 00:00:00,P0122,S007,5,2409.16,39.0,Paid,N
ORD000069,2024-08-15 00:00:00,P0031,S012,5,3188.48,18.0,Paid,N
ORD000070,2024-05-18 00:00:00,P0049,S005,4,511.71,8.0,Paid,N
ORD000071,2024-07-31 00:00:00,P0202,S016,3,672.32,4.0,Paid,N
ORD000072,2024-07-07 00:00:00,P0189,S015,3,507.66,5.0,Paid,N
ORD000073,2024-07-27 00:00:00,P0274,S013,4,1493.59,20.0,Paid,N
ORD000074,2024-06-30 00:00:00,P0176,S002,4,1642.56,10.0,Paid,Y
ORD000075,2024-08-16 00:00:00,P0068,S010,3,2326.42,5.0,Paid,N
ORD000076,2024-07-22 00:00:00,P0120,S014,1,910.5,37.0,Paid,N
ORD000077,2024-06-13 00:00:00,P0062,S014,4,3558.15,6.0,Paid,N
ORD000078,2024-07-24 00:00:00,P0069,S005,5,3193.04,28.0,Paid,N
ORD000079,2024-05-16 00:00:00,P0227,S007,1,2430.16,24.0,Paid,N
ORD000080,2024-08-10 00:00:00,P0044,S008,5,1112.46,1.0,Paid,N
ORD000081,2024-07-06 00:00:00,P0097,S013,1,2838.77,15.0,Paid,N
ORD000082,2024-06-26 00:00:00,P0007,S012,2,2524.08,26.0,Paid,N
ORD000083,2024-06-04 00:00:00,P0035,S001,1,3282.09,25.0,Paid,N
ORD000084,2024-07-19 00:00:00,P0206,S003,5,3106.64,19.0,Paid,N
ORD000085,2024-08-22 00:00:00,P0201,S003,4,1864.58,3.0,Paid,N
ORD000086,2024-06-24 00:00:00,P0159,S006,2,82.39,22.0,Paid,N
ORD000087,2024-08-20 00:00:00,P0138,S004,1,628.57,33.0,Paid,N
ORD000088,2024-09-01 00:00:00,P0262,S012,5,4042.6,6.0,Failed,N
ORD000089,2024-06-08 00:00:00,P0023,S001,4,1346.62,11.0,Failed,N
ORD000090,2024-05-17 00:00:00,P0215,S008,4,744.0,4.0,Paid,N
ORD000091,2024-09-04 00:00:00,P0265,S002,1,1515.31,19.0,Paid,N
ORD000092,2024-08-16 00:00:00,P0156,S008,5,1246.62,12.0,Paid,N
ORD000093,invalid,P0013,S008,1,1120.96,,Paid,N
ORD000094,2024-08-28 00:00:00,P0122,S014,1,2409.16,17.0,Paid,N
ORD000095,2024-07-06 00:00:00,P0191,S015,1,430.34,40.0,Paid,N
ORD000096,2024-07-17 00:00:00,P0067,S008,3,559.15,20.0,Paid,N
ORD000097,2024-08-16 00:00:00,P0300,S004,2,3775.47,7.0,Paid,N
ORD000098,2024-08-02 00:00:00,P0062,S003,3,3558.15,2.0,Paid,N
ORD000099,2024-06-11 00:00:00,P0183,S013,3,304.23,1.0,Refunded,N
ORD000100,2024-07-02 00:00:00,P0237,S004,2,2061.63,14.0,Paid,N
ORD000101,2024-06-22 00:00:00,P0044,S009,1,1112.46,28.0,Paid,N
