snapshot_date,product_id,store_id,stock_on_hand,reorder_point,lead_time_days
2024-12-01,P0001,S001,47,97,10
2024-12-01,P0001,S003,13,63,13
2024-12-01,P0001,S005,461,97,10
2024-12-01,P0001,S007,307,33,8
2024-12-01,P0001,S009,378,64,11
2024-12-01,P0001,S011,33,93,14
2024-12-01,P0001,S013,28,35,8
2024-12-01,P0001,S015,108,54,13
2024-12-01,P0001,S017,44,84,7
2024-12-01,P0004,S001,481,73,4
2024-12-01,P0004,S003,84,23,13
2024-12-01,P0004,S005,361,99,13
2024-12-01,P0004,S007,474,25,3
2024-12-01,P0004,S009,373,62,6
2024-12-01,P0004,S011,96,79,4
2024-12-01,P0004,S013,330,20,12
2024-12-01,P0004,S015,411,33,6
2024-12-01,P0004,S017,32,25,13
2024-12-01,P0007,S001,249,89,13
2024-12-01,P0007,S003,101,72,7
2024-12-01,P0007,S005,364,63,9
2024-12-01,P0007,S007,42,62,9
2024-12-01,P0007,S009,183,70,13
2024-12-01,P0007,S011,55,33,8
2024-12-01,P0007,S013,465,43,13
2024-12-01,P0007,S015,304,65,9
2024-12-01,P0007,S017,384,80,13
2024-12-01,P0010,S001,119,81,9
2024-12-01,P0010,S003,320,68,8
2024-12-01,P0010,S005,341,31,4
2024-12-01,P0010,S007,442,46,11
2024-12-01,P0010,S009,311,51,14
2024-12-01,P0010,S011,250,92,12
2024-12-01,P0010,S013,351,92,8
2024-12-01,P0010,S015,192,38,6
2024-12-01,P0010,S017,382,67,13
2024-12-01,P0013,S001,435,22,3
2024-12-01,P0013,S003,465,26,10
2024-12-01,P0013,S005,396,86,4
2024-12-01,P0013,S007,13,29,12
2024-12-01,P0013,S009,139,86,6
2024-12-01,P0013,S011,60,35,9
2024-12-01,P0013,S013,443,30,9
2024-12-01,P0013,S015,94,38,9
2024-12-01,P0013,S017,99,93,5
2024-12-01,P0016,S001,209,74,7
2024-12-01,P0016,S003,393,68,14
2024-12-01,P0016,S005,100,62,9
2024-12-01,P0016,S007,198,89,7
2024-12-01,P0016,S009,98,89,8
2024-12-01,P0016,S011,308,44,11
2024-12-01,P0016,S013,346,90,13
2024-12-01,P0016,S015,252,64,11
2024-12-01,P0016,S017,400,100,11
2024-12-01,P0019,S001,122,38,13
2024-12-01,P0019,S003,444,100,12
2024-12-01,P0019,S005,21,74,12
2024-12-01,P0019,S007,489,90,6
2024-12-01,P0019,S009,358,24,4
2024-12-01,P0019,S011,110,64,9
2024-12-01,P0019,S013,249,81,8
2024-12-01,P0019,S015,78,96,12
2024-12-01,P0019,S017,109,47,4
2024-12-01,P0022,S001,458,46,12
2024-12-01,P0022,S003,89,81,3
2024-12-01,P0022,S005,345,56,11
2024-12-01,P0022,S007,348,66,10
2024-12-01,P0022,S009,258,58,6
2024-12-01,P0022,S011,182,32,4
2024-12-01,P0022,S013,259,94,6
2024-12-01,P0022,S015,55,74,6
2024-12-01,P0022,S017,468,95,4
2024-12-01,P0025,S001,196,77,3
2024-12-01,P0025,S003,328,51,3
2024-12-01,P0025,S005,397,83,6
2024-12-01,P0025,S007,328,85,14
2024-12-01,P0025,S009,454,25,3
2024-12-01,P0025,S011,412,57,12
2024-12-01,P0025,S013,172,100,7
2024-12-01,P0025,S015,228,24,6
2024-12-01,P0025,S017,354,75,11
2024-12-01,P0028,S001,417,70,5
2024-12-01,P0028,S003,28,60,14
2024-12-01,P0028,S005,11,51,3
2024-12-01,P0028,S007,341,71,10
2024-12-01,P0028,S009,109,100,5
2024-12-01,P0028,S011,175,83,6
2024-12-01,P0028,S013,351,26,4
2024-12-01,P0028,S015,495,44,5
2024-12-01,P0028,S017,172,31,6
2024-12-01,P0031,S001,401,61,7
2024-12-01,P0031,S003,264,62,10
2024-12-01,P0031,S005,466,23,10
2024-12-01,P0031,S007,11,52,12
2024-12-01,P0031,S009,365,34,7
2024-12-01,P0031,S011,60,82,5
2024-12-01,P0031,S013,144,54,9
2024-12-01,P0031,S015,278,36,14
2024-12-01,P0031,S017,279,74,10
2024-12-01,P0034,S001,48,88,4
2024-12-01,P0034,S003,33,59,10
2024-12-01,P0034,S005,328,75,13
2024-12-01,P0034,S007,395,26,5
2024-12-01,P0034,S009,413,55,7
2024-12-01,P0034,S011,169,72,6
2024-12-01,P0034,S013,176,86,7
2024-12-01,P0034,S015,42,47,4
2024-12-01,P0034,S017,445,81,3
2024-12-01,P0037,S001,305,57,10
2024-12-01,P0037,S003,224,48,11
2024-12-01,P0037,S005,166,80,10
2024-12-01,P0037,S007,174,82,7
2024-12-01,P0037,S009,454,89,8
2024-12-01,P0037,S011,451,23,6
2024-12-01,P0037,S013,439,99,14
2024-12-01,P0037,S015,51,47,13
2024-12-01,P0037,S017,333,94,7
2024-12-01,P0040,S001,130,91,11
2024-12-01,P0040,S003,172,43,6
2024-12-01,P0040,S005,342,24,9
2024-12-01,P0040,S007,158,77,10
2024-12-01,P0040,S009,138,81,10
2024-12-01,P0040,S011,202,79,7
2024-12-01,P0040,S013,113,53,12
2024-12-01,P0040,S015,126,61,3
2024-12-01,P0040,S017,294,57,14
2024-12-01,P0043,S001,486,56,12
2024-12-01,P0043,S003,98,26,12
2024-12-01,P0043,S005,329,48,13
2024-12-01,P0043,S007,329,100,13
2024-12-01,P0043,S009,256,46,8
2024-12-01,P0043,S011,99,28,10
2024-12-01,P0043,S013,157,46,5
2024-12-01,P0043,S015,141,77,8
2024-12-01,P0043,S017,228,82,5
2024-12-01,P0046,S001,297,34,13
2024-12-01,P0046,S003,70,92,11
2024-12-01,P0046,S005,205,48,4
2024-12-01,P0046,S007,272,44,6
2024-12-01,P0046,S009,358,21,14
2024-12-01,P0046,S011,129,88,9
2024-12-01,P0046,S013,453,55,5
2024-12-01,P0046,S015,134,62,11
2024-12-01,P0046,S017,314,70,9
2024-12-01,P0049,S001,194,52,10
2024-12-01,P0049,S003,463,77,12
2024-12-01,P0049,S005,321,87,11
2024-12-01,P0049,S007,94,87,9
2024-12-01,P0049,S009,302,100,3
2024-12-01,P0049,S011,472,76,9
2024-12-01,P0049,S013,410,25,13
2024-12-01,P0049,S015,304,66,8
2024-12-01,P0049,S017,186,44,9
2024-11-30,P0001,S001,300,51,14
2024-11-30,P0001,S003,32,23,6
2024-11-30,P0001,S005,20,98,4
2024-11-30,P0001,S007,432,69,11
2024-11-30,P0001,S009,359,46,14
2024-11-30,P0001,S011,99,76,10
2024-11-30,P0001,S013,383,27,4
2024-11-30,P0001,S015,17,34,8
2024-11-30,P0001,S017,334,27,3
2024-11-30,P0004,S001,457,88,7
2024-11-30,P0004,S003,430,56,10
2024-11-30,P0004,S005,458,100,4
2024-11-30,P0004,S007,308,39,7
2024-11-30,P0004,S009,383,69,5
2024-11-30,P0004,S011,249,25,8
2024-11-30,P0004,S013,243,90,14
2024-11-30,P0004,S015,32,78,11
2024-11-30,P0004,S017,319,57,6
2024-11-30,P0007,S001,443,46,12
2024-11-30,P0007,S003,162,44,14
2024-11-30,P0007,S005,243,95,12
2024-11-30,P0007,S007,458,27,4
2024-11-30,P0007,S009,437,53,11
2024-11-30,P0007,S011,133,21,10
2024-11-30,P0007,S013,238,61,4
2024-11-30,P0007,S015,390,81,3
2024-11-30,P0007,S017,148,99,10
2024-11-30,P0010,S001,90,62,12
2024-11-30,P0010,S003,336,94,13
2024-11-30,P0010,S005,277,87,14
2024-11-30,P0010,S007,117,65,5
2024-11-30,P0010,S009,219,38,9
2024-11-30,P0010,S011,406,66,4
2024-11-30,P0010,S013,103,75,9
2024-11-30,P0010,S015,337,52,4
2024-11-30,P0010,S017,428,56,5
2024-11-30,P0013,S001,492,69,3
2024-11-30,P0013,S003,321,59,3
2024-11-30,P0013,S005,377,42,9
2024-11-30,P0013,S007,234,79,8
2024-11-30,P0013,S009,130,78,3
2024-11-30,P0013,S011,29,91,7
2024-11-30,P0013,S013,161,72,4
2024-11-30,P0013,S015,385,54,6
2024-11-30,P0013,S017,375,38,4
2024-11-30,P0016,S001,471,52,8
2024-11-30,P0016,S003,262,66,5
2024-11-30,P0016,S005,133,65,7
2024-11-30,P0016,S007,104,52,4
2024-11-30,P0016,S009,175,89,11
2024-11-30,P0016,S011,367,48,4
2024-11-30,P0016,S013,288,86,7
2024-11-30,P0016,S015,479,62,8
2024-11-30,P0016,S017,245,63,11
2024-11-30,P0019,S001,226,32,9
2024-11-30,P0019,S003,278,83,3
2024-11-30,P0019,S005,22,98,13
2024-11-30,P0019,S007,243,95,7
2024-11-30,P0019,S009,333,85,10
2024-11-30,P0019,S011,277,96,9
2024-11-30,P0019,S013,90,72,4
2024-11-30,P0019,S015,326,95,6
2024-11-30,P0019,S017,441,47,12
2024-11-30,P0022,S001,162,32,7
2024-11-30,P0022,S003,336,73,3
2024-11-30,P0022,S005,139,74,7
2024-11-30,P0022,S007,337,83,12
2024-11-30,P0022,S009,184,97,6
2024-11-30,P0022,S011,168,77,6
2024-11-30,P0022,S013,83,57,12
2024-11-30,P0022,S015,121,59,3
2024-11-30,P0022,S017,411,46,6
2024-11-30,P0025,S001,386,55,4
2024-11-30,P0025,S003,347,25,12
2024-11-30,P0025,S005,459,83,10
2024-11-30,P0025,S007,415,100,7
2024-11-30,P0025,S009,425,45,8
2024-11-30,P0025,S011,29,36,10
2024-11-30,P0025,S013,316,59,9
2024-11-30,P0025,S015,498,58,7
2024-11-30,P0025,S017,318,33,7
2024-11-30,P0028,S001,131,99,8
2024-11-30,P0028,S003,500,43,10
2024-11-30,P0028,S005,195,35,9
2024-11-30,P0028,S007,24,60,10
2024-11-30,P0028,S009,440,95,11
2024-11-30,P0028,S011,22,58,7
2024-11-30,P0028,S013,189,64,7
2024-11-30,P0028,S015,367,56,4
2024-11-30,P0028,S017,310,35,6
