product_id,category,brand,unit_cost_aed
P0001,Home & Kitchen,Sony,104.18
P0002,Beauty,LG,171.18
P0003,Home & Kitchen,Carrefour,447.73
P0004,Fashion,LG,106.56
P0005,Grocery,Carrefour,257.27
P0006,Home & Kitchen,Sony,121.9
P0007,Grocery,Adidas,270.02
P0008,Fashion,Nike,96.85
P0009,Fashion,Samsung,461.15
P0010,Electronics,Carrefour,497.26
P0011,Fashion,Carrefour,248.98
P0012,Fashion,LG,168.74
P0013,Electronics,Adidas,263.46
P0014,Electronics,Carrefour,154.78
P0015,Fashion,Apple,386.64
P0016,Grocery,Adidas,72.1
P0017,Beauty,Nike,265.59
P0018,Electronics,Sony,456.69
P0019,Electronics,Apple,124.82
P0020,Beauty,Nike,194.29
P0021,Fashion,LG,430.39
P0022,Grocery,Samsung,361.47
P0023,Home & Kitchen,Apple,208.61
P0024,Beauty,LG,131.02
P0025,Home & Kitchen,Nike,202.48
P0026,Beauty,Apple,283.6
P0027,Electronics,Apple,287.23
P0028,Electronics,Adidas,21.98
P0029,Fashion,LG,326.25
P0030,Grocery,Sony,47.67
P0031,Beauty,Apple,40.65
P0032,Beauty,Samsung,440.02
P0033,Beauty,Samsung,160.44
P0034,Fashion,Adidas,386.13
P0035,Grocery,Apple,196.58
P0036,Home & Kitchen,Carrefour,439.28
P0037,Fashion,Adidas,34.12
P0038,Beauty,Adidas,284.98
P0039,Electronics,Adidas,135.32
P0040,Grocery,Sony,444.71
P0041,Home & Kitchen,Apple,240.91
P0042,Electronics,Apple,112.72
P0043,Grocery,Nike,160.97
P0044,Home & Kitchen,Adidas,412.61
P0045,Home & Kitchen,Adidas,288.55
P0046,Home & Kitchen,Adidas,345.4
P0047,Home & Kitchen,Adidas,408.38
P0048,Beauty,Samsung,436.91
P0049,Grocery,Carrefour,220.64
P0050,Grocery,Carrefour,48.29
