order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
ORD000001,2024-09-07 00:00:00,P0018,S003,4,169.95,0,Failed,N
ORD000002,2024-11-11 00:00:00,P0022,S011,1,121.85,10,Refunded,N
ORD000003,2024-11-29 00:00:00,P0016,S006,1,457.66,0,Refunded,N
ORD000004,2024-09-09 00:00:00,P0001,S011,4,95.92,0,Paid,Y
ORD000005,2024-09-19 00:00:00,P0009,S001,3,460.02,20,Failed,N
ORD000006,2024-10-31 00:00:00,P0003,S010,3,284.75,15,Paid,N
ORD000007,2024-11-21 00:00:00,P0034,S011,1,229.21,25,Refunded,N
ORD000008,2024-11-27 00:00:00,P0035,S016,5,350.81,10,Refunded,N
ORD000009,2024-12-18 00:00:00,P0049,S006,1,461.14,25,Paid,N
ORD000010,2024-10-13 00:00:00,P0022,S018,4,447.76,25,Failed,N
ORD000011,2024-11-13 00:00:00,P0050,S011,1,135.08,0,Paid,N
ORD000012,2024-12-24 00:00:00,P0023,S008,4,289.4,25,Paid,Y
ORD000013,2024-10-07 00:00:00,P0032,S008,5,267.72,5,Paid,N
ORD000014,2024-10-27 00:00:00,P0025,S015,1,54.57,15,Paid,N
ORD000015,2024-10-03 00:00:00,P0023,S009,4,335.42,0,Paid,N
ORD000016,2024-09-09 00:00:00,P0033,S012,1,87.31,0,Refunded,N
ORD000017,2024-09-10 00:00:00,P0035,S013,1,493.41,10,Failed,N
ORD000018,2024-12-06 00:00:00,P0036,S011,4,206.77,25,Paid,N
ORD000019,2024-09-09 00:00:00,P0046,S005,3,350.94,25,Paid,Y
ORD000020,2024-09-08 00:00:00,P0049,S017,4,291.89,5,Paid,N
ORD000021,2024-10-18 00:00:00,P0009,S018,3,282.7,25,Paid,N
ORD000022,2024-10-20 00:00:00,P0028,S002,2,254.63,0,Paid,N
ORD000023,2024-12-21 00:00:00,P0048,S015,3,243.05,0,Paid,N
ORD000024,2024-10-12 00:00:00,P0034,S017,5,111.82,20,Paid,N
ORD000025,2024-12-02 00:00:00,P0024,S008,5,203.04,10,Refunded,N
ORD000026,2024-09-27 00:00:00,P0021,S009,4,69.36,20,Paid,N
ORD000027,2024-11-04 00:00:00,P0013,S001,2,170.71,5,Paid,N
ORD000028,2024-10-11 00:00:00,P0006,S011,5,291.96,20,Paid,N
ORD000029,2024-11-03 00:00:00,P0047,S013,1,165.58,20,Failed,N
ORD000030,2024-10-21 00:00:00,P0015,S017,2,324.39,0,Refunded,N
ORD000031,2024-11-03 00:00:00,P0022,S004,1,212.29,15,Paid,Y
ORD000032,2024-12-19 00:00:00,P0027,S011,3,147.47,15,Paid,N
ORD000033,2024-12-15 00:00:00,P0012,S013,1,428.73,15,Refunded,N
ORD000034,2024-12-16 00:00:00,P0012,S018,4,215.83,10,Paid,N
ORD000035,2024-11-04 00:00:00,P0039,S011,1,474.9,0,Refunded,N
ORD000036,2024-10-09 00:00:00,P0007,S015,5,394.52,25,Paid,N
ORD000037,2024-11-22 00:00:00,P0029,S009,4,303.24,10,Paid,Y
ORD000038,2024-10-29 00:00:00,P0033,S009,3,479.68,5,Paid,N
ORD000039,2024-10-25 00:00:00,P0043,S016,2,264.79,0,Failed,N
ORD000040,2024-09-19 00:00:00,P0021,S012,2,318.96,0,Failed,N
ORD000041,2024-12-25 00:00:00,P0039,S010,5,455.41,0,Paid,Y
ORD000042,2024-10-20 00:00:00,P0015,S003,3,178.29,15,Paid,N
ORD000043,2024-09-06 00:00:00,P0039,S001,4,353.2,5,Paid,N
ORD000044,2024-11-07 00:00:00,P0011,S017,2,186.24,15,Paid,N
ORD000045,2024-11-07 00:00:00,P0006,S004,4,325.79,20,Paid,N
ORD000046,2024-11-06 00:00:00,P0005,S013,4,409.0,15,Paid,N
ORD000047,2024-11-12 00:00:00,P0028,S014,5,210.41,15,Paid,N
ORD000048,2024-12-28 00:00:00,P0014,S008,1,160.02,5,Paid,N
ORD000049,2024-12-28 00:00:00,P0002,S001,4,345.3,20,Paid,N
ORD000050,2024-12-28 00:00:00,P0016,S014,3,467.23,10,Paid,N
ORD000051,2024-11-25 00:00:00,P0042,S011,2,281.97,25,Paid,N
ORD000052,2024-10-30 00:00:00,P0015,S014,2,279.75,15,Failed,N
ORD000053,2024-09-25 00:00:00,P0025,S003,4,440.8,10,Paid,N
ORD000054,2024-12-03 00:00:00,P0047,S004,2,104.9,10,Refunded,N
ORD000055,2024-09-03 00:00:00,P0029,S017,3,179.94,5,Failed,N
ORD000056,2024-09-14 00:00:00,P0033,S004,5,349.0,25,Paid,Y
ORD000057,2024-09-27 00:00:00,P0025,S006,4,106.77,15,Paid,N
ORD000058,2024-09-21 00:00:00,P0006,S011,1,94.2,5,Failed,N
ORD000059,2024-12-29 00:00:00,P0013,S013,1,75.37,0,Failed,Y
ORD000060,2024-09-12 00:00:00,P0009,S002,3,247.76,5,Paid,N
ORD000061,2024-12-10 00:00:00,P0028,S011,2,90.23,0,Paid,N
ORD000062,2024-11-25 00:00:00,P0026,S012,2,416.59,0,Refunded,N
ORD000063,2024-09-15 00:00:00,P0016,S010,2,106.3,0,Refunded,Y
ORD000064,2024-12-20 00:00:00,P0035,S009,4,489.43,20,Paid,N
ORD000065,2024-11-20 00:00:00,P0009,S014,1,321.19,10,Paid,Y
ORD000066,2024-12-17 00:00:00,P0001,S012,5,391.48,25,Paid,N
ORD000067,2024-10-19 00:00:00,P0047,S006,5,196.54,0,Refunded,Y
ORD000068,2024-11-08 00:00:00,P0013,S013,1,136.26,25,Paid,N
ORD000069,2024-12-09 00:00:00,P0031,S010,5,492.39,5,Failed,N
ORD000070,2024-10-04 00:00:00,P0047,S001,2,401.04,10,Paid,N
ORD000071,2024-09-18 00:00:00,P0046,S004,3,104.57,0,Paid,N
ORD000072,2024-12-27 00:00:00,P0017,S012,2,163.43,0,Refunded,N
ORD000073,2024-11-06 00:00:00,P0036,S004,5,104.43,10,Paid,Y
ORD000074,2024-12-20 00:00:00,P0049,S010,4,480.54,0,Paid,N
ORD000075,2024-11-19 00:00:00,P0007,S015,4,417.93,10,Paid,N
ORD000076,2024-10-20 00:00:00,P0001,S014,2,157.99,0,Failed,N
ORD000077,2024-12-12 00:00:00,P0006,S006,5,170.01,5,Failed,N
ORD000078,2024-09-09 00:00:00,P0002,S004,5,227.16,20,Paid,Y
ORD000079,2024-11-26 00:00:00,P0035,S007,3,190.13,20,Paid,N
ORD000080,2024-11-25 00:00:00,P0010,S010,3,446.1,5,Failed,N
ORD000081,2024-11-03 00:00:00,P0003,S014,1,439.75,5,Paid,Y
ORD000082,2024-09-07 00:00:00,P0036,S008,1,252.04,5,Failed,N
ORD000083,2024-12-01 00:00:00,P0028,S018,3,83.57,5,Paid,N
ORD000084,2024-09-06 00:00:00,P0035,S010,1,143.7,0,Paid,Y
ORD000085,2024-11-07 00:00:00,P0007,S002,4,408.73,15,Refunded,N
ORD000086,2024-10-13 00:00:00,P0043,S006,4,488.42,25,Paid,N
ORD000087,2024-09-06 00:00:00,P0014,S005,2,401.93,25,Refunded,N
